Number of Cyc., xdisp_rel (FISH), xdisp_meas (FISH)
7670, 9.2934288E-003, 1.0200000E-001
7680, 9.3156310E-003, 1.0200000E-001
7690, 9.3346878E-003, 1.0200000E-001
7700, 9.3502478E-003, 1.0200000E-001
7710, 9.3667896E-003, 1.0200000E-001
7720, 9.3827958E-003, 1.0200000E-001
7730, 9.3981648E-003, 1.0200000E-001
7740, 9.4142535E-003, 1.0200000E-001
7750, 9.4317831E-003, 1.0200000E-001
7760, 9.4503769E-003, 1.0200000E-001
7770, 9.4694576E-003, 1.0200000E-001
7780, 9.4878143E-003, 1.0200000E-001
7790, 9.5084208E-003, 1.0200000E-001
7800, 9.5305074E-003, 1.0200000E-001
7810, 9.5510943E-003, 1.0200000E-001
7820, 9.5665747E-003, 1.0200000E-001
7830, 9.5791184E-003, 1.0200000E-001
7840, 9.5870959E-003, 1.0200000E-001
7850, 9.5938547E-003, 1.0200000E-001
7860, 9.6019789E-003, 1.0200000E-001
7870, 9.6100890E-003, 1.0200000E-001
7880, 9.6183092E-003, 1.0200000E-001
7890, 9.6264155E-003, 1.0200000E-001
7900, 9.6354711E-003, 1.0200000E-001
7910, 9.6462066E-003, 1.0200000E-001
7920, 9.6597077E-003, 1.0200000E-001
7930, 9.6752227E-003, 1.0200000E-001
7940, 9.6915694E-003, 1.0200000E-001
7950, 9.7092181E-003, 1.0200000E-001
7960, 9.7257889E-003, 1.0200000E-001
7970, 9.7413866E-003, 1.0200000E-001
7980, 9.7552759E-003, 1.0200000E-001
7990, 9.7659451E-003, 1.0200000E-001
8000, 9.7755009E-003, 1.0200000E-001
8010, 9.7851803E-003, 1.0200000E-001
8020, 9.7951861E-003, 1.0200000E-001
8030, 9.8072502E-003, 1.0200000E-001
8040, 9.8208535E-003, 1.0200000E-001
8050, 9.8350588E-003, 1.0200000E-001
8060, 9.8514677E-003, 1.0200000E-001
