"","x"
"1061",4.20000028610229
"1062",9.90000057220459
"1063",10.5
"1064",10.6000003814697
"1065",6
"1066",-1.20000004768372
"1067",-5.30000019073486
"1068",-13.3000001907349
"1069",-14.6000003814697
"1070",-5.70000028610229
"1071",-6
"1072",-1.30000007152557
"1073",3.79999995231628
"1074",10.6000003814697
"1075",12.3000001907349
"1076",11.1000003814697
"1077",5.59999990463257
"1078",1.30000007152557
"1079",-8.80000019073486
"1080",-7.80000019073486
"1081",-10.5
"1082",-16.8999996185303
"1083",-8.30000019073486
"1084",-1.60000002384186
"1085",2.29999995231628
"1086",9.10000038146973
"1087",12.5
"1088",11.6000003814697
"1089",4.09999990463257
"1090",0
"1091",-6.70000028610229
"1092",-7.40000009536743
"1093",-9.19999980926514
"1094",-8.10000038146973
"1095",-5.09999990463257
"1096",-4.80000019073486
"1097",5.20000028610229
"1098",11.6999998092651
"1099",10.5
"1100",9
"1101",6.59999990463257
"1102",-5.59999990463257
"1103",-9.69999980926514
"1104",-7.59999990463257
"1105",-11.9000005722046
"1106",-9.5
"1107",-6.80000019073486
"1108",-2.79999995231628
"1109",4.70000028610229
"1110",7.30000019073486
"1111",12.6999998092651
"1112",9.80000019073486
"1113",3.70000004768372
"1114",-2.29999995231628
"1115",-7.5
"1116",-14.4000005722046
"1117",-18.3000011444092
"1118",-17.2000007629395
"1119",-8.60000038146973
"1120",-0.699999988079071
"1121",2.79999995231628
"1122",8.10000038146973
"1123",12.9000005722046
"1124",11
"1125",4.90000009536743
"1126",-1
"1127",-8.19999980926514
"1128",-8.10000038146973
"1129",-12.1999998092651
"1130",-10.1000003814697
"1131",-6.09999990463257
"1132",-3.60000014305115
"1133",2.60000014305115
"1134",9.69999980926514
"1135",10.5
"1136",9.69999980926514
"1137",5.30000019073486
"1138",0.5
"1139",-9.30000019073486
"1140",-14.9000005722046
"1141",-11.1999998092651
"1142",-15.8000001907349
"1143",-8.10000038146973
"1144",-2.20000004768372
"1145",2.40000009536743
"1146",9
"1147",11.4000005722046
"1148",13
"1149",5.40000009536743
"1150",1
"1151",-10.4000005722046
"1152",-13.6999998092651
"1153",-10.5
"1154",-11.6000003814697
"1155",-7.40000009536743
"1156",-5.30000019073486
"1157",2.5
"1158",11.3000001907349
"1159",14.5
"1160",12.1999998092651
"1161",7.09999990463257
"1162",-1.30000007152557
"1163",-9
"1164",-10.9000005722046
"1165",-12.1000003814697
"1166",-13.4000005722046
"1167",-9.90000057220459
"1168",-4.09999990463257
"1169",3
"1170",9.5
"1171",13.3000001907349
"1172",10
"1173",6.30000019073486
"1174",0
"1175",-10.5
"1176",-12.1000003814697
"1177",-16.3000011444092
"1178",-14.3000001907349
"1179",-7.70000028610229
"1180",-0.900000035762787
"1181",3
"1182",11.1999998092651
"1183",11.6999998092651
"1184",8.60000038146973
"1185",8.10000038146973
"1186",0.800000011920929
"1187",-2.90000009536743
"1188",-14.9000005722046
"1189",-11.1999998092651
"1190",-10.9000005722046
"1191",-7.80000019073486
"1192",-1.89999997615814
"1193",5.09999990463257
"1194",8.90000057220459
"1195",12.6000003814697
"1196",10.3000001907349
"1197",6
"1198",3.10000014305115
"1199",-3.70000004768372
"1200",-11.5
"1201",-11.1000003814697
"1202",-15.4000005722046
"1203",-11.8000001907349
"1204",-2.20000004768372
"1205",3.29999995231628
"1206",10.5
"1207",12
"1208",10.5
"1209",7.09999990463257
"1210",0.900000035762787
"1211",-7.80000019073486
"1212",-13.6000003814697
"1213",-14.4000005722046
"1214",-10.5
"1215",-7.70000028610229
"1216",0.200000002980232
"1217",6.40000009536743
"1218",12.5
"1219",13.9000005722046
"1220",13
"1221",5.70000028610229
"1222",-3.29999995231628
"1223",-11.9000005722046
"1224",-15.6999998092651
"1225",-19.3999996185303
"1226",-9.60000038146973
"1227",-5.20000028610229
"1228",-2.20000004768372
"1229",4.70000028610229
"1230",10
"1231",15.6000003814697
"1232",11.1999998092651
"1233",5.90000009536743
"1234",-0.900000035762787
"1235",-6.80000019073486
"1236",-11.6000003814697
"1237",-15.5
"1238",-12.3000001907349
"1239",-7
"1240",-0.200000002980232
"1241",4.70000028610229
"1242",9
"1243",13
"1244",11.4000005722046
"1245",6.70000028610229
"1246",0.100000001490116
"1247",-8.69999980926514
"1248",-9.19999980926514
"1249",-10.9000005722046
"1250",-11.6999998092651
"1251",-9.90000057220459
"1252",-0.699999988079071
"1253",3.20000004768372
"1254",10.3000001907349
"1255",14.1000003814697
"1256",11.1999998092651
"1257",6.40000009536743
"1258",1.89999997615814
"1259",-4.70000028610229
"1260",-12.5
"1261",-12
"1262",-13.1000003814697
"1263",-12.3000001907349
"1264",-1
"1265",5.40000009536743
"1266",10.3000001907349
"1267",12.6000003814697
"1268",13.5
"1269",7.20000028610229
"1270",-0.800000011920929
"1271",-6.30000019073486
"1272",-7
"1273",-14
"1274",-16.3000011444092
"1275",-4.70000028610229
"1276",-1.10000002384186
"1277",4.20000028610229
"1278",10.8000001907349
"1279",13
"1280",11.1999998092651
"1281",5.09999990463257
"1282",2.10000014305115
"1283",-7.40000009536743
"1284",-7.40000009536743
"1285",-10.3000001907349
"1286",-8.40000057220459
"1287",-8.90000057220459
"1288",-1.60000002384186
"1289",4
"1290",9.60000038146973
"1291",12.5
"1292",9.5
"1293",5.30000019073486
"1294",0.800000011920929
"1295",-7.30000019073486
"1296",-9.19999980926514
"1297",-12.4000005722046
"1298",-15.1999998092651
"1299",-7.70000028610229
"1300",-1.5
"1301",5.90000009536743
"1302",9.40000057220459
"1303",12.5
"1304",11.9000005722046
