index,czas_start,czas_stop,n,ns,multiline,l,t
426,1925.8,1927.594,1,1,False,19,1.7940000000000964
427,1927.719,1929.095,1,1,False,13,1.3759999999999764
428,1939.105,1940.315,1,1,False,7,1.2100000000000364
429,2015.306,2017.6,1,1,False,4,2.293999999999869
430,2030.196,2032.907,1,1,False,26,2.7110000000000127
431,2033.283,2034.784,1,1,False,23,1.5010000000002037
432,2034.909,2036.703,1,1,False,36,1.793999999999869
433,2037.287,2039.998,1,1,False,22,2.7110000000000127
434,2041.207,2042.417,1,1,False,12,1.209999999999809
435,2048.882,2050.383,1,1,False,16,1.500999999999749
436,2052.594,2053.595,1,1,False,7,1.000999999999749
437,2054.387,2058.183,1,1,False,37,3.7959999999998217
438,2058.308,2059.893,1,1,False,19,1.5850000000000364
439,2061.603,2062.896,1,1,False,23,1.29300000000012
440,2064.314,2065.398,1,1,False,5,1.0840000000002874
441,2067.609,2068.818,1,1,False,9,1.2090000000002874
442,2073.406,2074.783,1,1,False,15,1.3769999999999527
443,2075.408,2076.993,1,1,False,23,1.5850000000000364
444,2077.118,2079.496,1,1,False,37,2.3780000000001564
445,2079.496,2082.582,2,2,True,47,3.0859999999997854
446,2082.707,2084.0,1,1,False,13,1.29300000000012
447,2084.0,2087.504,2,2,True,61,3.5039999999999054
448,2087.504,2091.091,1,1,False,36,3.586999999999989
449,2092.592,2094.094,1,1,False,30,1.5019999999999527
450,2094.219,2096.805,2,2,True,32,2.5859999999997854
451,2096.888,2098.89,1,1,False,22,2.0019999999999527
452,2099.599,2103.103,1,1,False,33,3.5039999999999054
453,2104.312,2105.897,1,1,False,16,1.5850000000000364
454,2106.815,2107.899,1,1,False,7,1.0839999999998327
455,2109.401,2111.695,1,1,False,26,2.294000000000324
456,2112.904,2116.908,2,2,True,46,4.003999999999905
457,2116.991,2118.618,1,1,False,30,1.6269999999999527
458,2119.619,2123.498,1,1,False,25,3.8789999999999054
459,2124.791,2127.21,1,1,False,32,2.418999999999869
460,2128.586,2132.507,2,2,True,61,3.9210000000002765
461,2134.092,2139.18,1,1,False,39,5.087999999999738
462,2139.305,2141.599,2,2,True,29,2.294000000000324
463,2142.809,2144.519,1,1,False,19,1.7099999999995816
464,2147.814,2151.317,1,1,False,27,3.5030000000001564
465,2158.283,2159.617,1,1,False,16,1.3340000000002874
466,2160.201,2161.494,1,1,False,12,1.29300000000012
467,2161.619,2164.08,2,2,True,47,2.4609999999997854
468,2164.706,2166.499,1,1,False,22,1.7929999999996653
469,2166.499,2170.879,2,2,True,73,4.380000000000109
470,2177.302,2178.887,1,1,False,20,1.5850000000000364
471,2180.597,2182.807,2,2,True,29,2.2099999999995816
472,2185.685,2188.396,1,1,False,30,2.71100000000024
473,2190.607,2193.485,1,1,False,42,2.8780000000001564
474,2193.61,2197.489,2,2,True,43,3.8789999999999054
475,2197.614,2201.785,2,2,True,58,4.170999999999822
476,2204.412,2205.914,1,1,False,25,1.5020000000004075
477,2205.997,2209.417,2,2,True,68,3.4200000000000728
478,2210.293,2211.92,1,1,False,27,1.6269999999999527
479,2212.504,2213.296,1,1,False,22,0.7919999999999163
480,2217.3,2221.888,2,2,True,68,4.587999999999738
481,2222.597,2224.015,1,1,False,17,1.4179999999996653
482,2224.599,2226.017,1,1,False,27,1.4179999999996653
483,2227.018,2230.105,2,2,True,49,3.086999999999989
484,2231.481,2234.984,1,1,False,42,3.5029999999997017
485,2235.402,2238.405,2,2,True,43,3.0030000000001564
486,2238.488,2240.699,1,1,False,33,2.21100000000024
487,2240.782,2241.783,1,1,False,11,1.000999999999749
488,2241.908,2244.119,1,1,False,40,2.21100000000024
489,2244.994,2245.995,1,1,False,9,1.000999999999749
490,2246.079,2248.998,1,1,False,39,2.918999999999869
491,2249.916,2252.002,1,1,False,38,2.0859999999997854
492,2252.085,2257.507,2,2,True,69,5.4220000000000255
493,2257.59,2260.301,2,2,True,32,2.7109999999997854
494,2260.385,2261.72,1,1,False,10,1.3349999999995816
495,2261.803,2263.805,1,1,False,32,2.0019999999999527
496,2268.685,2270.395,1,1,False,19,1.7100000000000364
497,2271.688,2274.107,1,1,False,17,2.418999999999869
498,2274.19,2275.984,1,1,False,18,1.793999999999869
